_measurement,url,time,cpu,average_response_ms
ping,10.251.255.38,2022-07-26 06:47:01.780,1,0.653117240978744
ping,10.251.255.38,2022-07-26 06:48:01.780,2,1.51641439144832
ping,10.251.255.38,2022-07-26 06:49:01.780,3,0.379711541917897
ping,10.251.255.38,2022-07-26 06:50:01.780,4,1.24300869238747
ping,10.251.255.38,2022-07-26 06:51:01.780,5,0.106305842857049
ping,10.251.255.38,2022-07-26 06:52:01.780,6,1.6100372000165
ping,10.251.255.38,2022-07-26 06:53:01.780,7,0.473334350486075
ping,10.251.255.38,2022-07-26 06:54:01.780,8,1.33663150095565
ping,10.251.255.38,2022-07-26 06:55:01.780,9,0.199928651425227
ping,10.251.255.38,2022-07-26 06:56:01.780,10,1.0632258018948
ping,10.251.255.38,2022-07-26 06:57:01.780,11,0.92652293957393
ping,10.251.255.38,2022-07-26 06:58:01.780,12,1.78982009004351
ping,10.251.255.38,2022-07-26 06:59:01.780,13,0.653117240978744
ping,10.251.255.38,2022-07-26 07:00:01.780,14,1.51641439144832
ping,10.251.255.38,2022-07-26 07:01:01.780,15,0.379711541917897
ping,10.251.255.38,2022-07-26 07:02:01.780,16,1.24300869238747
ping,10.251.255.38,2022-07-26 07:03:01.780,17,0.106305842857049
ping,10.251.255.38,2022-07-26 07:04:01.780,18,1.6100372000165
ping,10.251.255.38,2022-07-26 07:05:01.780,19,0.473334350486075
ping,10.251.255.38,2022-07-26 07:06:01.780,20,1.33663150095565
ping,10.251.255.38,2022-07-26 07:07:01.780,21,0.199928651425227
ping,10.251.255.38,2022-07-26 07:08:01.780,22,1.0632258018948
ping,10.251.255.38,2022-07-26 07:09:01.780,23,0.92652293957393
ping,10.251.255.38,2022-07-26 07:10:01.780,24,1.78982009004351
ping,10.251.255.38,2022-07-26 07:11:01.780,25,0.653117240978744
ping,10.251.255.38,2022-07-26 07:12:01.780,26,1.51641439144832
ping,10.251.255.38,2022-07-26 07:13:01.780,27,0.379711541917897
ping,10.251.255.38,2022-07-26 07:14:01.780,28,1.24300869238747
ping,10.251.255.38,2022-07-26 07:15:01.780,29,0.106305842857049
ping,10.251.255.38,2022-07-26 07:16:01.780,30,1.6100372000165
ping,10.251.255.38,2022-07-26 07:17:01.780,31,0.473334350486075
ping,10.251.255.38,2022-07-26 07:18:01.780,32,1.33663150095565
ping,10.251.255.38,2022-07-26 07:19:01.780,33,0.199928651425227
ping,10.251.255.38,2022-07-26 07:20:01.780,34,1.0632258018948
ping,10.251.255.38,2022-07-26 07:21:01.780,35,0.92652293957393
ping,10.251.255.38,2022-07-26 07:22:01.780,36,1.78982009004351
