time,bytes_recv,bytes_sent,drop_in,drop_out,err_in,err_out,interface,packets_recv,packets_sent
1660984210000000000,31268731 ,2825689  , 0     , 0      ,  0    , 0     , igb0         , 27307, 27072
1660984200000000000,31240214 ,2787387  , 0     , 0      ,  0    , 0     , igb0         , 27109, 26840
1660984200000000000,0        ,0        , 0     , 0      ,  0    , 0     , ovpns1       , 0          , 0
1660984200000000000,1063839  ,1569696  , 0     , 0      ,  0    , 0     , igb1         , 4113       , 4712
1660984200000000000,0        ,0        , 0     , 0      ,  0    , 0     , igb2_vlan1002, 0          , 0
1660984200000000000,0        ,0        , 0     , 0      ,  0    , 0     , igb2_vlan1027, 0          , 0
1660984200000000000,134611   ,214562   , 0     , 0      ,  0    , 1     , igb2_vlan1042, 1165       , 945
1660984200000000000,131      ,42       , 0     , 0      ,  0    , 1     , igb2_vlan1014, 1          , 1
1660984200000000000,776607   ,5043977  , 0     , 0      ,  0    , 0     , igb2         , 6792       , 4254
1660984200000000000,16738    ,45152    , 0     , 0      ,  0    , 1     , igb2_vlan1015, 143        , 561
1660984200000000000,0        ,0        , 0     , 0      ,  0    , 0     , igb2_vlan1024, 0          , 0
1660984210000000000,17104    ,45518    , 0     , 0      ,  0    , 1     , igb2_vlan1015, 148        , 568
1660984210000000000,0        ,0        , 0     , 0      ,  0    , 0     , igb2_vlan1024, 0          , 0
1660984210000000000,0        ,0        , 0     , 0      ,  0    , 0     , igb2_vlan1027, 0          , 0
1660984210000000000,1105783  ,1644298  , 0     , 0      ,  0    , 0     , igb1         , 4410       , 4962
1660984210000000000,0        ,0        , 0     , 0      ,  0    , 0     , ovpns1       , 0          , 0
1660984210000000000,0        ,0        , 0     , 0      ,  0    , 0     , igb2_vlan1002, 0          , 0
1660984210000000000,880604   ,5113232  , 0     , 0      ,  0    , 0     , igb2         , 7450       , 4556
1660984210000000000,139913   ,221002   , 0     , 0      ,  0    , 1     , igb2_vlan1042, 1213       , 988
1660984210000000000,21332    ,8207     , 0     , 0      ,  0    , 1     , igb2_vlan1014, 32         , 32
